,baseline,rank5_1d,rank5_2d,gap3_1d,gap3_2d,gap5_1d,gap5_2d,gap10_1d,gap10_2d,rank8_gap5_1d,rank8_gap5_2d,top1_gap5_1d,top1_gap5_2d
2018-07-02,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2018-07-03,100003.07849315068,100003.07849315068,100003.07849315068,100003.07849315068,100003.07849315068,100003.07849315068,100003.07849315068,100003.07849315068,100003.07849315068,100003.07849315068,100003.07849315068,100003.07849315068,100003.07849315068
2018-07-04,100006.18808219177,100006.18808219177,100006.18808219177,100006.18808219177,100006.18808219177,100006.18808219177,100006.18808219177,100006.18808219177,100006.18808219177,100006.18808219177,100006.18808219177,100006.18808219177,100006.18808219177
2018-07-05,100009.29767123287,100009.29767123287,100009.29767123287,100009.29767123287,100009.29767123287,100009.29767123287,100009.29767123287,100009.29767123287,100009.29767123287,100009.29767123287,100009.29767123287,100009.29767123287,100009.29767123287
2018-07-06,100012.40726027396,100012.40726027396,100012.40726027396,100012.40726027396,100012.40726027396,100012.40726027396,100012.40726027396,100012.40726027396,100012.40726027396,100012.40726027396,100012.40726027396,100012.40726027396,100012.40726027396
2018-07-09,100023.73602739724,100023.73602739724,100023.73602739724,100023.73602739724,100023.73602739724,100023.73602739724,100023.73602739724,100023.73602739724,100023.73602739724,100023.73602739724,100023.73602739724,100023.73602739724,100023.73602739724
2018-07-10,100026.84561643834,100026.84561643834,100026.84561643834,100026.84561643834,100026.84561643834,100026.84561643834,100026.84561643834,100026.84561643834,100026.84561643834,100026.84561643834,100026.84561643834,100026.84561643834,100026.84561643834
2018-07-11,100029.95520547943,100029.95520547943,100029.95520547943,100029.95520547943,100029.95520547943,100029.95520547943,100029.95520547943,100029.95520547943,100029.95520547943,100029.95520547943,100029.95520547943,100029.95520547943,100029.95520547943
2018-07-12,100033.06479452053,100033.06479452053,100033.06479452053,100033.06479452053,100033.06479452053,100033.06479452053,100033.06479452053,100033.06479452053,100033.06479452053,100033.06479452053,100033.06479452053,100033.06479452053,100033.06479452053
2018-07-13,100036.17438356162,100036.17438356162,100036.17438356162,100036.17438356162,100036.17438356162,100036.17438356162,100036.17438356162,100036.17438356162,100036.17438356162,100036.17438356162,100036.17438356162,100036.17438356162,100036.17438356162
2018-07-16,100047.5031506849,100047.5031506849,100047.5031506849,100047.5031506849,100047.5031506849,100047.5031506849,100047.5031506849,100047.5031506849,100047.5031506849,100047.5031506849,100047.5031506849,100047.5031506849,100047.5031506849
2018-07-17,100050.612739726,100050.612739726,100050.612739726,100050.612739726,100050.612739726,100050.612739726,100050.612739726,100050.612739726,100050.612739726,100050.612739726,100050.612739726,100050.612739726,100050.612739726
2018-07-18,100053.7223287671,100053.7223287671,100053.7223287671,100053.7223287671,100053.7223287671,100053.7223287671,100053.7223287671,100053.7223287671,100053.7223287671,100053.7223287671,100053.7223287671,100053.7223287671,100053.7223287671
2018-07-19,100056.83191780819,100056.83191780819,100056.83191780819,100056.83191780819,100056.83191780819,100056.83191780819,100056.83191780819,100056.83191780819,100056.83191780819,100056.83191780819,100056.83191780819,100056.83191780819,100056.83191780819
2018-07-20,100059.94150684928,100059.94150684928,100059.94150684928,100059.94150684928,100059.94150684928,100059.94150684928,100059.94150684928,100059.94150684928,100059.94150684928,100059.94150684928,100059.94150684928,100059.94150684928,100059.94150684928
2018-07-23,100071.27027397256,100071.27027397256,100071.27027397256,100071.27027397256,100071.27027397256,100071.27027397256,100071.27027397256,100071.27027397256,100071.27027397256,100071.27027397256,100071.27027397256,100071.27027397256,100071.27027397256
2018-07-24,100074.37986301366,100074.37986301366,100074.37986301366,100074.37986301366,100074.37986301366,100074.37986301366,100074.37986301366,100074.37986301366,100074.37986301366,100074.37986301366,100074.37986301366,100074.37986301366,100074.37986301366
2018-07-25,100077.48945205475,100077.48945205475,100077.48945205475,100077.48945205475,100077.48945205475,100077.48945205475,100077.48945205475,100077.48945205475,100077.48945205475,100077.48945205475,100077.48945205475,100077.48945205475,100077.48945205475
2018-07-26,100080.59904109585,100080.59904109585,100080.59904109585,100080.59904109585,100080.59904109585,100080.59904109585,100080.59904109585,100080.59904109585,100080.59904109585,100080.59904109585,100080.59904109585,100080.59904109585,100080.59904109585
2018-07-27,100083.70863013694,100083.70863013694,100083.70863013694,100083.70863013694,100083.70863013694,100083.70863013694,100083.70863013694,100083.70863013694,100083.70863013694,100083.70863013694,100083.70863013694,100083.70863013694,100083.70863013694
2018-07-30,100095.03739726022,100095.03739726022,100095.03739726022,100095.03739726022,100095.03739726022,100095.03739726022,100095.03739726022,100095.03739726022,100095.03739726022,100095.03739726022,100095.03739726022,100095.03739726022,100095.03739726022
2018-07-31,100098.14698630132,100098.14698630132,100098.14698630132,100098.14698630132,100098.14698630132,100098.14698630132,100098.14698630132,100098.14698630132,100098.14698630132,100098.14698630132,100098.14698630132,100098.14698630132,100098.14698630132
2018-08-01,100101.25657534241,100101.25657534241,100101.25657534241,100101.25657534241,100101.25657534241,100101.25657534241,100101.25657534241,100101.25657534241,100101.25657534241,100101.25657534241,100101.25657534241,100101.25657534241,100101.25657534241
2018-08-02,100104.36616438351,100104.36616438351,100104.36616438351,100104.36616438351,100104.36616438351,100104.36616438351,100104.36616438351,100104.36616438351,100104.36616438351,100104.36616438351,100104.36616438351,100104.36616438351,100104.36616438351
2018-08-03,100107.4757534246,100107.4757534246,100107.4757534246,100107.4757534246,100107.4757534246,100107.4757534246,100107.4757534246,100107.4757534246,100107.4757534246,100107.4757534246,100107.4757534246,100107.4757534246,100107.4757534246
2018-08-06,100118.80452054788,100118.80452054788,100118.80452054788,100118.80452054788,100118.80452054788,100118.80452054788,100118.80452054788,100118.80452054788,100118.80452054788,100118.80452054788,100118.80452054788,100118.80452054788,100118.80452054788
2018-08-07,100121.91410958898,100121.91410958898,100121.91410958898,100121.91410958898,100121.91410958898,100121.91410958898,100121.91410958898,100121.91410958898,100121.91410958898,100121.91410958898,100121.91410958898,100121.91410958898,100121.91410958898
2018-08-08,100125.02369863007,100125.02369863007,100125.02369863007,100125.02369863007,100125.02369863007,100125.02369863007,100125.02369863007,100125.02369863007,100125.02369863007,100125.02369863007,100125.02369863007,100125.02369863007,100125.02369863007
2018-08-09,100128.13328767117,100128.13328767117,100128.13328767117,100128.13328767117,100128.13328767117,100128.13328767117,100128.13328767117,100128.13328767117,100128.13328767117,100128.13328767117,100128.13328767117,100128.13328767117,100128.13328767117
2018-08-10,100131.24287671226,100131.24287671226,100131.24287671226,100131.24287671226,100131.24287671226,100131.24287671226,100131.24287671226,100131.24287671226,100131.24287671226,100131.24287671226,100131.24287671226,100131.24287671226,100131.24287671226
2018-08-13,100142.57164383554,100142.57164383554,100142.57164383554,100142.57164383554,100142.57164383554,100142.57164383554,100142.57164383554,100142.57164383554,100142.57164383554,100142.57164383554,100142.57164383554,100142.57164383554,100142.57164383554
2018-08-14,100145.68123287664,100145.68123287664,100145.68123287664,100145.68123287664,100145.68123287664,100145.68123287664,100145.68123287664,100145.68123287664,100145.68123287664,100145.68123287664,100145.68123287664,100145.68123287664,100145.68123287664
2018-08-15,100148.79082191773,100148.79082191773,100148.79082191773,100148.79082191773,100148.79082191773,100148.79082191773,100148.79082191773,100148.79082191773,100148.79082191773,100148.79082191773,100148.79082191773,100148.79082191773,100148.79082191773
2018-08-16,100151.90041095883,100151.90041095883,100151.90041095883,100151.90041095883,100151.90041095883,100151.90041095883,100151.90041095883,100151.90041095883,100151.90041095883,100151.90041095883,100151.90041095883,100151.90041095883,100151.90041095883
2018-08-17,100155.00999999992,100155.00999999992,100155.00999999992,100155.00999999992,100155.00999999992,100155.00999999992,100155.00999999992,100155.00999999992,100155.00999999992,100155.00999999992,100155.00999999992,100155.00999999992,100155.00999999992
2018-08-20,100166.3387671232,100166.3387671232,100166.3387671232,100166.3387671232,100166.3387671232,100166.3387671232,100166.3387671232,100166.3387671232,100166.3387671232,100166.3387671232,100166.3387671232,100166.3387671232,100166.3387671232
2018-08-21,100169.4483561643,100169.4483561643,100169.4483561643,100169.4483561643,100169.4483561643,100169.4483561643,100169.4483561643,100169.4483561643,100169.4483561643,100169.4483561643,100169.4483561643,100169.4483561643,100169.4483561643
2018-08-22,100172.5579452054,100172.5579452054,100172.5579452054,100172.5579452054,100172.5579452054,100172.5579452054,100172.5579452054,100172.5579452054,100172.5579452054,100172.5579452054,100172.5579452054,100172.5579452054,100172.5579452054
2018-08-23,100175.66753424649,100175.66753424649,100175.66753424649,100175.66753424649,100175.66753424649,100175.66753424649,100175.66753424649,100175.66753424649,100175.66753424649,100175.66753424649,100175.66753424649,100175.66753424649,100175.66753424649
2018-08-24,100178.77712328758,100178.77712328758,100178.77712328758,100178.77712328758,100178.77712328758,100178.77712328758,100178.77712328758,100178.77712328758,100178.77712328758,100178.77712328758,100178.77712328758,100178.77712328758,100178.77712328758
2018-08-27,100190.10589041086,100190.10589041086,100190.10589041086,100190.10589041086,100190.10589041086,100190.10589041086,100190.10589041086,100190.10589041086,100190.10589041086,100190.10589041086,100190.10589041086,100190.10589041086,100190.10589041086
2018-08-28,100193.21547945196,100193.21547945196,100193.21547945196,100193.21547945196,100193.21547945196,100193.21547945196,100193.21547945196,100193.21547945196,100193.21547945196,100193.21547945196,100193.21547945196,100193.21547945196,100193.21547945196
2018-08-29,100196.32506849305,100196.32506849305,100196.32506849305,100196.32506849305,100196.32506849305,100196.32506849305,100196.32506849305,100196.32506849305,100196.32506849305,100196.32506849305,100196.32506849305,100196.32506849305,100196.32506849305
2018-08-30,100199.43465753415,100199.43465753415,100199.43465753415,100199.43465753415,100199.43465753415,100199.43465753415,100199.43465753415,100199.43465753415,100199.43465753415,100199.43465753415,100199.43465753415,100199.43465753415,100199.43465753415
2018-08-31,100202.54424657524,100202.54424657524,100202.54424657524,100202.54424657524,100202.54424657524,100202.54424657524,100202.54424657524,100202.54424657524,100202.54424657524,100202.54424657524,100202.54424657524,100202.54424657524,100202.54424657524
2018-09-03,100213.87301369853,100213.87301369853,100213.87301369853,100213.87301369853,100213.87301369853,100213.87301369853,100213.87301369853,100213.87301369853,100213.87301369853,100213.87301369853,100213.87301369853,100213.87301369853,100213.87301369853
2018-09-04,100216.98260273962,100216.98260273962,100216.98260273962,100216.98260273962,100216.98260273962,100216.98260273962,100216.98260273962,100216.98260273962,100216.98260273962,100216.98260273962,100216.98260273962,100216.98260273962,100216.98260273962
2018-09-05,100220.09219178071,100220.09219178071,100220.09219178071,100220.09219178071,100220.09219178071,100220.09219178071,100220.09219178071,100220.09219178071,100220.09219178071,100220.09219178071,100220.09219178071,100220.09219178071,100220.09219178071
2018-09-06,100223.20178082181,100223.20178082181,100223.20178082181,100223.20178082181,100223.20178082181,100223.20178082181,100223.20178082181,100223.20178082181,100223.20178082181,100223.20178082181,100223.20178082181,100223.20178082181,100223.20178082181
2018-09-07,100226.3113698629,100226.3113698629,100226.3113698629,100226.3113698629,100226.3113698629,100226.3113698629,100226.3113698629,100226.3113698629,100226.3113698629,100226.3113698629,100226.3113698629,100226.3113698629,100226.3113698629
2018-09-10,100237.64013698619,100237.64013698619,100237.64013698619,100237.64013698619,100237.64013698619,100237.64013698619,100237.64013698619,100237.64013698619,100237.64013698619,100237.64013698619,100237.64013698619,100237.64013698619,100237.64013698619
2018-09-11,100240.74972602728,100240.74972602728,100240.74972602728,100240.74972602728,100240.74972602728,100240.74972602728,100240.74972602728,100240.74972602728,100240.74972602728,100240.74972602728,100240.74972602728,100240.74972602728,100240.74972602728
2018-09-12,100243.85931506837,100243.85931506837,100243.85931506837,100243.85931506837,100243.85931506837,100243.85931506837,100243.85931506837,100243.85931506837,100243.85931506837,100243.85931506837,100243.85931506837,100243.85931506837,100243.85931506837
2018-09-13,100246.96890410947,100246.96890410947,100246.96890410947,100246.96890410947,100246.96890410947,100246.96890410947,100246.96890410947,100246.96890410947,100246.96890410947,100246.96890410947,100246.96890410947,100246.96890410947,100246.96890410947
2018-09-14,100250.07849315056,100250.07849315056,100250.07849315056,100250.07849315056,100250.07849315056,100250.07849315056,100250.07849315056,100250.07849315056,100250.07849315056,100250.07849315056,100250.07849315056,100250.07849315056,100250.07849315056
2018-09-17,100261.40726027385,100261.40726027385,100261.40726027385,100261.40726027385,100261.40726027385,100261.40726027385,100261.40726027385,100261.40726027385,100261.40726027385,100261.40726027385,100261.40726027385,100261.40726027385,100261.40726027385
2018-09-18,100264.51684931494,100264.51684931494,100264.51684931494,100264.51684931494,100264.51684931494,100264.51684931494,100264.51684931494,100264.51684931494,100264.51684931494,100264.51684931494,100264.51684931494,100264.51684931494,100264.51684931494
2018-09-19,100267.62643835603,100267.62643835603,100267.62643835603,100267.62643835603,100267.62643835603,100267.62643835603,100267.62643835603,100267.62643835603,100267.62643835603,100267.62643835603,100267.62643835603,100267.62643835603,100267.62643835603
2018-09-20,100270.73602739713,100270.73602739713,100270.73602739713,100270.73602739713,100270.73602739713,100270.73602739713,100270.73602739713,100270.73602739713,100270.73602739713,100270.73602739713,100270.73602739713,100270.73602739713,100270.73602739713
