variant,symbol,entry_date,entry_completed_date,exit_date,exit_completed_date,buy_fill_count,sell_fill_count,quantity,average_buy_price,average_sell_price,buy_cost,sell_proceeds,total_fees,net_pnl,net_return,holding_days,outcome
baseline,512800.SH,2018-09-21,2018-09-28,2018-10-12,2018-10-17,5,4,208200.0,0.4813598387367672,0.466335971439881,100252.14675854753,97062.02190900709,62.15567832873927,-3190.1248495404434,-0.03182101284298389,12,负
baseline,512800.SH,2018-11-06,2018-11-07,2018-11-12,2018-11-13,2,2,198300.0,0.4897630150371589,0.4720722625119483,97149.14188363317,93583.84607722251,57.219580661396385,-3565.295806410664,-0.036699200191405046,5,负
baseline,510880.SH,2019-01-28,2019-02-01,2019-02-25,2019-02-28,5,4,56900.0,1.6484573381503564,1.8541150928542571,93827.26481572459,105467.4990387722,61.69201960433625,11640.23422304762,0.12406025312481272,18,胜
baseline,513500.SH,2019-05-20,2019-05-20,2019-05-27,2019-05-27,1,1,114300.0,0.9244893909156322,0.9045511052310468,105700.83812287127,103359.17427051027,62.717798612869615,-2341.663852361002,-0.02215369238263698,5,负
baseline,513500.SH,2019-06-13,2019-06-13,2019-06-20,2019-06-20,1,1,111400.0,0.9285001990437506,0.9374619976222515,103465.95265012585,104401.93655515829,62.360456612577785,935.9839050324372,0.009046298623446747,5,胜
baseline,513500.SH,2019-07-02,2019-07-02,2019-07-09,2019-07-09,1,1,109400.0,0.9545704219937323,0.9524214833557607,104461.33316736415,104163.65180603648,62.587474333570356,-297.6813613276754,-0.002849679898788371,5,负
baseline,513500.SH,2019-07-17,2019-07-17,2019-08-02,2019-08-05,1,2,107600.0,0.967605473703146,0.9528385693892226,104145.58327514965,102492.2574388027,64.40693216880095,-1653.3258363469504,-0.01587514116637012,13,负
baseline,159915.SZ,2019-08-20,2019-08-20,2019-08-30,2019-08-30,1,1,65400.0,1.5668780572891237,1.5671172057151794,102504.5670941927,102458.7184141966,61.488987060144424,-45.8486799960956,-0.00044728426543150235,8,负
baseline,159915.SZ,2019-09-09,2019-09-09,2019-09-27,2019-09-27,1,1,62500.0,1.6409668582439425,1.5601256361961364,102591.19676883848,97478.59990657985,60.020484270751474,-5112.596862258622,-0.04983465466124226,13,负
baseline,513500.SH,2019-09-27,2019-09-27,2019-10-10,2019-10-11,1,2,98500.0,0.9886622014343739,0.9634383695825344,97412.44180933821,94870.20980005847,57.68457187354963,-2542.2320092797454,-0.02609761096283325,5,负
baseline,159915.SZ,2019-11-01,2019-11-01,2019-11-18,2019-11-18,1,1,58900.0,1.6109307675361635,1.6110644352436065,94912.2873545424,94863.22772727767,56.93265523311853,-49.05962726472353,-0.0005168943730273767,11,负
